id,data_hora,tipo,url,eh_sentenca,eh_decisao,arquivo_local
2,28/02/2025 14:44:17,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=25453a715d04e266485c304eeda54a2fa77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=142425263,True,False,sentencas_tjma\pdfs\08021040220238100056_002_28-02-2025_14-44-17_Sentença.html
3,09/10/2024 10:39:53,Sentença (Sentença),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=a4e02e2aea20c993f17ba4f4820930d0a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=131493951,True,False,sentencas_tjma\pdfs\08021040220238100056_003_09-10-2024_10-39-53_Sentença.html
4,28/08/2024 10:45:28,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=bed49209a7c32f26f17ba4f4820930d0a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=127827022,False,True,
5,03/05/2024 12:16:13,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=016cf0c30586eaf1f17ba4f4820930d0a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=118368922,False,False,
6,01/04/2024 15:38:11,Ata da Audiência (Ata da Audiência),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=51a85c82c58f3fc6b8ef71d1fb11e841a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=115724324,False,False,
7,20/03/2024 16:23:34,Certidão de Oficial de Justiça (Certidão de Oficial de Justiça),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=a13abc2dcd7b0198f17ba4f4820930d0a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=115053710,False,False,
8,15/02/2024 14:53:34,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=8157a23a20cf9aa3485c304eeda54a2fa77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=111963592,False,True,
9,10/01/2024 13:16:38,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=7fcdccf18da8b5cdb8ef71d1fb11e841a77064c7016db8747619a7933bcd180a2e4e1ce71711ac737edaffc5a002040a8a20a08bd50ee7e9&idProcessoDoc=109522172,False,True,
12,28/07/2023 16:17:55,Decisão (Decisão),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=1ec655c8cca07c4763f5115891f7b477eb564cbdade750b4525487b258a4c9a86188286227b45e72156775daf7365ba47fdbaa041889d37b&idProcessoDoc=97905879,False,True,
13,15/06/2023 14:30:11,Despacho (Despacho),https://pje.tjma.jus.br:443/pje/ConsultaPublica/DetalheProcessoConsultaPublica/documentoSemLoginHTML.seam?ca=02d56f11598d4c1063f5115891f7b477eb564cbdade750b4525487b258a4c9a86188286227b45e72156775daf7365ba47fdbaa041889d37b&idProcessoDoc=94661324,False,False,
